"""Payee"", ""Date"", ""Amount"", ""Category"", ""Memo"", ""Check Number"", ""Reconciled"" "
"Cracker Barrel, 2/13/2015, -30.000000, """", """", """", 0"
"Starbucks, 2/13/2015, -1.890000, """", """", """", 0"
"Potbelly, 2/12/2015, -10.010000, """", """", """", 0"
"Prestonwood Cafe, 2/11/2015, -7.750000, """", """", """", 0"
"Starbucks, 2/11/2015, -11.000000, """", """", """", 0"
"Race Trac, 2/11/2015, -28.000000, """", """", """", 0"
"Subway, 2/10/2015, -21.500000, """", """", """", 0"
"Which Wich, 2/8/2015, -26.500000, """", """", """", 0"
"Dunkin Dounuts, 2/8/2015, -12.940000, """", """", """", 0"
"The Bridges, 2/7/2015, -55.000000, """", """", """", 0"
"Seven Eleven, 2/6/2015, -3.230000, """", """", """", 0"
"Golden Bear, 2/6/2015, -12.000000, """", """", """", 0"
"Cvs, 2/5/2015, -24.500000, """", """", """", 0"
"Thai Orchad, 2/5/2015, -10.690000, """", """", """", 0"
"Race Trac, 2/4/2015, -5.970000, """", """", """", 0"
"Seven Eleven, 2/4/2015, -9.720000, """", """", """", 0"
"Race Trac, 2/3/2015, -27.510000, """", """", """", 0"
"Burger King, 2/3/2015, -16.640000, """", """", """", 0"
"Sonic, 2/3/2015, -25.500000, """", """", """", 0"
"Gym, 2/3/2015, -16.250000, """", """", """", 0"
"Baker Bros, 2/1/2015, -31.590000, """", """", """", 0"
"Dunkin Dounuts, 2/1/2015, -14.430000, """", """", """", 0"
"Adjustment, 1/31/2015, 868.470000, """", """", """", 1"
